,City,Country,Cloudiness,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
70,puerto cabezas,AR,100,34,-51.62,-69.23,9.0,9.3
71,yellowknife,CA,90,55,62.45,-114.38,1.0,7.7
72,oeiras,BR,67,25,-7.01,-42.13,31.83,1.52
73,yumen,CN,100,32,40.29,97.04,10.59,4.05
74,komsomolskiy,RU,100,86,67.55,63.78,1.45,2.9
75,ahipara,NZ,40,81,-35.17,173.16,22.78,0.45
76,kortkeros,RU,0,80,61.81,51.56,0.0,4.0
77,naze,NG,75,88,5.43,7.07,24.0,0.97
78,avarua,CK,100,56,-21.21,-159.78,23.0,6.7
79,ola,RU,94,78,59.58,151.3,1.34,6.644
80,awbari,LY,97,38,26.59,12.77,19.17,2.88
81,kodiak,US,1,43,39.95,-94.76,22.0,6.2
82,puerto madero,AR,100,34,-51.62,-69.23,9.0,9.3
83,mafeteng,LS,0,36,-29.82,27.24,10.19,0.53
84,castro,CL,98,76,-42.48,-73.76,10.0,3.1
85,liverpool,GB,20,76,53.41,-2.98,12.22,5.7
86,kendari,ID,9,64,-3.99,122.52,28.27,0.21
87,iskateley,RU,13,89,67.68,53.15,-0.36,6.08
88,lorengau,PG,91,72,-2.02,147.27,29.18,4.54
89,bilma,NE,26,28,18.69,12.92,30.91,3.653
90,port blair,CD,92,65,-7.04,29.76,26.27,1.287
91,tromso,NO,0,59,69.65,18.96,2.0,7.2
92,yulara,AU,0,25,-25.24,130.99,17.0,5.1
93,uklana mandi,IN,0,39,29.51,75.88,23.05,2.21
94,husavik,CA,25,51,50.56,-96.99,18.33,2.24
95,vila franca do campo,IT,90,93,45.18,8.4,16.11,1.5
96,port elizabeth,CD,74,47,-7.04,29.76,19.4,1.23
97,cabo san lucas,ES,75,87,43.18,-5.8,16.11,3.6
98,east london,UG,100,95,3.43,31.7,19.15,0.74
99,rafai,CF,100,96,4.95,23.92,18.99,0.61
100,hamilton,CA,20,76,43.26,-79.87,15.56,4.1
101,ceres,BR,98,91,-15.31,-49.6,20.4,4.78
102,pakokku,MM,93,90,21.33,95.09,24.44,1.593
103,ponta do sol,BR,22,76,-0.53,-65.05,26.0,0.46
104,ayan,IR,85,53,38.23,44.7,7.75,2.6
105,souillac,FR,0,93,45.6,-0.6,14.0,1.0
106,kita,JP,40,52,35.76,139.74,21.11,9.8
107,norman wells,US,1,35,35.22,-97.44,24.0,6.2
108,milkovo,BG,40,76,41.53,24.68,14.44,1.13
109,jamestown,AU,38,40,-33.21,138.6,12.72,3.125
110,hithadhoo,MV,45,73,-0.6,73.08,27.68,2.67
111,isangel,VU,20,69,-19.55,169.27,26.0,2.6
112,missoula,US,84,81,46.87,-114.0,9.0,2.6
113,ostrovnoy,RU,100,88,68.05,39.51,0.7,4.925
114,airai,TL,16,37,-8.93,125.41,25.49,3.552
115,arlit,NE,7,42,18.74,7.39,30.48,6.91
116,jalu,LY,0,22,29.03,21.55,25.98,7.227
117,maldonado,UY,0,64,-34.91,-54.96,16.07,4.48
118,pangnirtung,CA,20,81,66.15,-65.72,2.0,0.78
119,nelson bay,CA,100,86,49.49,-117.29,5.56,2.19
120,iqaluit,CA,90,93,63.75,-68.52,5.0,1.0
121,gusau,NG,100,87,12.17,6.66,23.06,3.182
122,dingle,PH,99,77,11.0,122.67,27.3,1.39
123,egvekinot,RU,85,90,66.32,-179.17,-2.09,3.586
124,broome,GB,11,87,52.47,1.45,11.11,3.1
125,new norfolk,LR,75,94,6.65,-10.59,25.0,5.07
126,vostok,RU,100,90,46.45,135.83,2.74,4.083
127,mineiros,BR,82,86,-17.57,-52.55,20.66,2.74
128,teocaltiche,MX,75,24,21.43,-102.58,26.0,3.1
129,kalia,BD,97,91,23.05,89.63,24.19,1.137
130,niigata,JP,75,52,37.91,139.04,18.0,5.1
131,beringovskiy,RU,59,66,63.05,179.32,-0.38,4.33
132,altamont,CA,1,46,49.4,-98.5,21.0,6.7
133,narsaq,GL,100,97,60.91,-46.05,4.0,3.244
134,turtas,RU,97,96,58.94,69.13,8.19,1.9
135,homer,US,90,61,59.64,-151.54,11.11,3.6
136,bathsheba,BB,20,69,13.22,-59.52,28.0,7.2
137,esfarayen,IR,0,50,37.08,57.51,13.0,1.24
138,abapo,BO,0,41,-18.83,-63.47,22.25,1.033
139,gaogou,CN,36,78,31.12,117.94,16.36,3.051
140,busayra,JO,41,72,30.74,35.61,21.17,0.91
141,tiznit,MA,0,92,29.7,-9.73,19.18,2.93
142,lasa,CY,0,82,34.92,32.53,21.0,3.1
143,rawson,AR,82,65,-43.3,-65.11,9.89,4.224
144,mahebourg,MU,40,78,-20.41,57.7,22.0,6.7
145,portland,US,1,62,43.66,-70.25,14.44,7.378
146,llangefni,GB,34,76,53.26,-4.31,13.0,12.3
147,mana,NG,45,77,13.03,5.27,25.0,4.7
148,onguday,RU,0,86,50.75,86.14,2.87,1.14
149,butaritari,KI,33,69,3.07,172.79,29.6,5.96
150,nyurba,RU,72,86,63.29,118.35,-8.63,2.8
151,ribeira grande,PT,27,87,41.76,-8.56,16.0,1.5
152,lufilufi,WS,90,83,-13.87,-171.6,27.0,3.6
153,saintes,FR,0,93,45.74,-0.63,15.0,1.0
154,sivaki,RU,100,67,52.63,126.75,2.85,1.51
155,salalah,OM,40,83,17.01,54.1,27.0,2.1
156,tiksi,RU,100,84,71.64,128.87,-4.13,5.23
157,mount gambier,GB,40,93,53.66,-1.85,11.11,3.6
158,nichinan,JP,20,87,31.65,131.31,15.0,3.6
159,chapais,CA,1,61,49.78,-74.86,8.0,2.1
160,thompson,CA,90,69,55.74,-97.86,4.0,6.2
161,rondonopolis,BR,100,71,-16.46,-54.64,25.75,1.707
162,biltine,TD,93,50,14.53,20.93,26.38,5.722
163,esperance,AU,98,76,-33.86,121.89,12.0,7.7
164,saint-philippe,CA,1,71,45.36,-73.48,15.0,1.24
165,guerrero negro,AR,0,20,-24.19,-65.45,28.0,4.1
166,provideniya,RU,75,86,64.42,-173.23,5.0,3.0
167,acapulco,MX,90,83,16.86,-99.88,29.0,2.6
168,bandarbeyla,SO,0,88,9.49,50.81,26.0,4.643
169,nyalikungu,TZ,40,78,-2.6,33.44,23.0,2.35
170,nikolskoye,RU,90,93,59.7,30.79,4.44,2.0
171,bethel,US,40,76,60.79,-161.76,9.0,5.7
172,hofn,IS,68,96,64.25,-15.21,2.79,6.16
173,bud,NO,84,93,62.91,6.91,9.0,2.6
174,cherskiy,RU,98,94,68.75,161.3,-5.98,3.17
175,clyde river,NZ,100,94,-45.19,169.32,13.89,0.89
176,turukhansk,RU,93,85,65.8,87.96,-0.22,1.34
177,oyem,GA,69,98,1.6,11.57,19.21,1.9
178,rockport,US,1,66,28.02,-97.05,29.0,4.6
179,ilulissat,GL,5,58,69.22,-51.1,-2.0,0.5
180,gasa,BT,60,90,27.91,89.73,-2.47,0.76
181,margate,AU,20,54,-43.03,147.26,15.0,4.6
182,georgetown,GY,20,78,6.8,-58.16,28.0,4.1
183,buala,SB,70,70,-8.15,159.59,28.88,2.06
184,geraldton,CA,40,48,49.72,-86.95,16.0,5.7
185,santa cruz,PH,0,68,17.49,120.43,28.13,3.8
186,miyako,JP,20,87,33.63,130.94,20.0,1.0
187,sitka,US,30,42,37.17,-99.65,23.89,10.73
188,tura,RU,0,82,64.27,100.22,-10.92,2.72
189,tautira,PF,75,65,-17.73,-149.15,28.0,3.1
190,mayo,CA,75,63,63.59,-135.9,-2.0,1.5
191,constantine,DZ,20,93,36.36,6.61,11.0,1.0
192,tanout,NE,95,46,14.97,8.88,28.59,2.08
193,codrington,AU,75,52,-28.95,153.24,19.44,4.6
194,chingirlau,KZ,100,62,51.09,54.08,6.15,0.54
195,kavaratti,IN,52,71,10.57,72.64,27.91,1.32
196,tuy hoa,PH,40,83,14.02,120.73,27.0,1.5
197,taoudenni,ML,0,9,22.68,-3.98,29.83,4.68
198,lujan,AR,68,39,-46.57,-67.67,13.0,3.573
199,indramayu,ID,73,71,-4.05,103.78,22.04,0.84
200,khed brahma,IN,49,87,18.85,73.88,22.15,2.301
201,mys shmidta,RU,100,83,62.06,48.62,0.72,5.51
202,zapolyarnyy,RU,75,86,69.43,30.82,3.0,10.3
203,basoko,CD,97,99,1.23,23.61,19.63,0.734
204,westerland,NL,40,71,52.89,4.93,14.44,9.8
205,mahibadhoo,MV,29,71,3.78,72.97,27.9,2.7
206,palauig,PH,17,64,15.44,119.9,27.52,0.678
207,faanui,PF,66,84,-16.48,-151.75,25.05,10.53
208,opuwo,NA,0,46,-18.06,13.84,13.92,0.39
209,hasaki,JP,40,63,35.73,140.83,20.0,4.1
210,vestmannaeyjar,IS,95,83,63.44,-20.27,9.44,1.199
211,bredasdorp,ZA,65,72,-34.53,20.04,15.0,3.6
212,buckeye,US,1,15,33.37,-112.58,35.56,3.6
213,hai phong,LA,100,90,18.17,103.06,23.15,0.4
214,lebu,ET,75,82,8.96,38.73,14.0,3.1
215,qui nhon,BR,40,74,-10.97,-37.6,26.0,5.1
216,casper,US,1,12,42.87,-106.31,22.78,12.9
217,noumea,NC,90,65,-22.28,166.46,25.0,1.0
218,koroni,GR,11,77,36.8,21.96,19.44,2.1
219,nanding,CN,99,97,24.87,105.42,16.91,2.06
220,chernyshevskiy,RU,85,95,63.01,112.47,-8.58,0.691
221,sri aman,MA,75,82,30.04,-8.8,18.0,2.1
222,faya,SA,0,34,18.39,42.45,20.0,2.6
223,hobart,AU,20,54,-42.88,147.33,15.0,4.6
224,granard,IE,63,90,53.78,-7.49,7.94,3.88
225,saldanha,PT,26,79,41.42,-6.55,16.08,1.82
226,tual,ID,94,80,-5.67,132.75,25.94,2.195
227,cayenne,GF,0,83,4.94,-52.33,27.0,3.1
228,rocha,UY,0,68,-34.48,-54.34,11.65,1.879
229,silopi,IQ,43,26,37.25,42.47,22.0,1.663
230,longyearbyen,NO,75,86,78.22,15.63,1.0,1.0
231,comodoro rivadavia,BR,66,88,-13.66,-59.79,22.02,2.623
232,xunchang,CN,99,81,28.45,104.71,17.33,0.985
233,asyut,EG,0,44,27.18,31.19,26.0,5.1
234,denpasar,ID,20,78,-8.65,115.22,24.0,1.0
235,vao,EE,100,96,59.1,26.19,3.5,3.08
236,xinye,CN,97,84,32.53,112.36,16.31,1.386
237,grindavik,IS,75,76,63.84,-22.43,11.0,1.0
238,mehamn,NO,75,83,71.03,27.85,4.0,5.7
239,esik,KZ,75,81,43.36,77.47,10.0,2.0
240,tucuman,PE,0,48,-17.17,-70.89,9.17,0.864
241,beloha,MG,0,54,-25.17,45.06,24.31,2.91
242,lesnikovo,RU,100,84,55.28,65.32,9.8,1.43
243,yalova,TR,75,93,40.66,29.27,15.0,5.1
244,upernavik,GL,74,55,72.79,-56.15,-3.32,3.122
245,dalvik,SE,75,100,57.79,14.13,8.89,4.1
246,haines junction,US,90,75,44.91,-117.94,11.11,8.2
247,saint-georges,CA,3,78,46.12,-70.67,9.44,0.821
248,kidal,ML,46,28,18.44,1.41,31.76,5.1
249,fort dodge,IN,100,93,17.96,79.61,22.63,1.28
250,coahuayana,MX,51,84,18.62,-100.35,25.64,0.58
251,klaksvik,FO,45,93,62.23,-6.59,10.0,8.2
252,susurluk,TR,40,93,39.91,28.16,16.0,2.1
253,collie,AU,100,62,-33.36,116.15,15.0,2.941
254,orangeburg,US,75,64,33.49,-80.86,27.0,2.6
255,sorland,NO,10,58,67.67,12.69,6.97,12.22
256,nantucket,US,75,87,41.28,-70.1,16.0,7.7
257,atar,MR,76,10,20.52,-13.05,29.3,1.809
258,salamiyah,SY,81,71,35.01,37.05,17.17,1.77
259,caravelas,BR,0,89,-17.73,-39.27,21.94,3.345
260,luderitz,NA,0,67,-26.65,15.16,16.0,9.3
261,ribas do rio pardo,PT,54,87,41.45,-8.02,18.33,4.6
262,mumford,GH,98,96,5.26,-0.76,22.65,1.879
263,souris,CA,75,81,46.36,-62.25,12.22,2.1
264,zlitan,LY,29,57,32.47,14.57,21.17,3.083
265,gravelbourg,CA,100,88,49.88,-106.56,1.14,7.75
266,parrita,CR,75,88,9.52,-84.33,21.0,5.1
267,raudeberg,NO,99,71,61.99,5.14,10.0,5.7
268,sechura,PE,60,86,-5.56,-80.82,17.18,6.13
269,neiafu,TO,75,74,-18.65,-173.98,26.0,2.6
270,ati,TD,82,73,13.21,18.34,25.55,5.632
271,puerto rondon,AR,100,34,-51.62,-69.23,9.0,9.3
272,boguchany,RU,83,84,58.38,97.46,-3.75,1.38
273,deputatskiy,RU,100,98,69.3,139.9,-16.08,1.25
274,bonnyville,CA,75,46,54.27,-110.74,0.0,6.2
275,khatanga,RU,42,92,71.98,102.47,-8.78,2.03
276,ust-ishim,RU,84,94,57.69,71.17,7.87,2.38
277,biryusinsk,RU,4,95,55.96,97.82,-1.68,1.52
278,nadym,RU,100,79,65.53,72.51,0.91,8.03
279,novodolinskiy,KZ,0,68,49.7,72.7,2.0,4.0
280,anadyr,RU,40,81,64.73,177.51,1.0,7.0
281,mantenopolis,BR,30,92,-18.86,-41.12,20.61,4.461
282,bajil,ES,0,93,38.23,-2.07,12.78,0.45
283,gelemso,ET,97,86,8.81,40.52,17.02,1.51
284,kedougou,SN,100,92,12.56,-12.19,23.71,2.45
285,victor harbor,US,1,23,43.6,-111.11,19.0,3.6
286,severo-kurilsk,RU,71,86,50.68,156.12,7.96,16.83
287,boa vista,CM,91,88,4.43,8.97,24.77,4.3
288,iguape,BR,97,95,-24.7,-47.56,18.25,0.88
289,fort nelson,IN,100,93,17.96,79.61,22.63,1.278
290,alice springs,ZA,0,88,-32.79,26.83,13.42,2.476
291,roswell,US,75,64,33.39,-104.52,27.0,4.6
292,cidreira,BR,50,87,-30.17,-50.22,17.29,2.24
293,conde,BR,13,95,-11.81,-37.61,19.44,1.35
294,dikson,RU,67,91,73.51,80.55,-6.41,5.208
295,port-cartier,CA,75,71,50.03,-66.88,11.0,3.1
296,tabas,IR,0,14,33.6,56.92,26.0,1.0
297,lima,PE,90,77,-12.06,-77.04,17.0,4.1
298,port hawkesbury,CD,92,65,-7.04,29.76,26.27,1.287
299,yar-sale,RU,100,81,66.83,70.83,1.43,6.49
300,oyama,JP,20,72,36.31,139.8,20.56,1.5
301,weligama,LK,87,76,5.97,80.42,27.8,4.16
302,ulaangom,MN,0,62,49.98,92.07,5.23,0.35
303,ulaanbaatar,MN,0,79,47.92,106.92,-5.0,1.0
304,batsfjord,NO,75,86,70.63,29.72,3.0,7.2
305,brae,GB,67,93,60.4,-1.35,11.0,6.2
306,fortuna,US,40,55,40.6,-124.16,18.0,7.7
307,inyonga,TZ,37,49,-6.72,32.06,19.79,2.65
308,khorramshahr,IR,0,78,30.43,48.18,28.0,1.6
309,balikpapan,ID,92,83,-1.24,116.86,24.53,1.8
310,namatanai,PG,60,70,-3.66,152.44,28.66,2.004
311,hashtrud,IR,10,67,37.48,47.05,6.7,0.861
312,saltpond,GH,97,87,5.2,-1.06,25.49,6.449
313,taltal,CL,6,69,-25.41,-70.49,14.04,0.74
314,hearst,CA,0,68,49.69,-83.67,11.61,4.94
315,hirara,JP,75,78,24.8,125.28,26.0,6.7
316,touros,BR,40,78,-5.2,-35.46,25.0,4.6
317,kyzyl-mazhalyk,RU,86,78,51.15,90.58,3.51,2.7
318,chirilagua,SV,75,74,13.22,-88.14,30.0,1.5
319,zhuhai,CN,96,74,40.71,112.04,3.0,3.0
320,dunyapur,PK,0,83,29.8,71.74,24.0,1.98
321,baturaja,ID,57,75,-4.12,104.17,24.79,0.53
322,urrao,CO,75,64,6.32,-76.13,22.0,2.6
323,lavrentiya,RU,100,92,65.58,-170.99,3.2,1.393
324,tocopilla,CL,0,87,-22.09,-70.2,14.96,0.72
325,mao,DO,20,79,19.55,-71.08,30.0,7.7
326,grand river south east,FR,90,93,48.39,5.49,12.0,3.6
327,byron bay,US,1,48,32.65,-83.76,30.0,3.1
328,horta,BR,40,74,-10.93,-37.66,26.0,5.1
329,ambon,FR,75,87,47.55,-2.56,15.0,3.1
330,povenets,RU,100,94,62.85,34.83,-0.28,4.57
331,storslett,NO,100,69,69.77,21.03,3.41,6.749
332,itoman,JP,75,73,26.12,127.67,25.0,9.3
333,vardo,US,1,71,39.62,-77.74,17.0,2.618
334,sabang,PH,100,84,13.8,121.11,26.11,1.34
335,oktyabrskiy,RU,44,80,55.61,37.97,2.78,2.0
336,alghero,IT,25,100,40.56,8.32,15.0,1.5
337,kasimov,RU,0,88,54.94,41.4,-0.88,3.104
338,algiers,US,1,54,29.94,-90.04,29.0,2.1
339,zyryanka,RU,88,60,65.73,150.89,-5.5,3.44
340,bangsund,NO,49,100,64.4,11.39,6.67,10.28
341,half moon bay,LR,75,94,6.38,-10.7,25.0,5.07
342,malartic,CA,20,50,48.14,-78.13,13.0,2.6
343,agadir,MA,75,82,30.42,-9.58,18.0,2.1
344,abnub,EG,0,44,27.27,31.15,26.0,5.1
345,inirida,CO,94,90,3.87,-67.92,24.0,0.406
346,yenagoa,NG,99,96,4.92,6.26,22.44,0.101
347,sola,TZ,58,52,-3.17,33.8,22.55,2.46
348,awash,ET,98,78,8.99,40.17,20.89,1.55
349,aksha,RU,100,83,50.28,113.29,5.06,5.43
350,tabou,CI,72,90,4.42,-7.36,23.56,1.466
351,paracuru,BR,34,69,-3.41,-39.03,27.0,6.7
352,koupela,BF,100,91,12.18,-0.35,22.77,5.04
353,imbituba,BR,20,83,-28.24,-48.67,21.0,1.0
354,bilibino,RU,100,91,68.06,166.44,-9.63,1.871
355,alta floresta,NO,90,87,69.97,23.27,3.0,5.7
356,muros,ES,20,100,42.77,-9.06,15.56,0.5
357,birao,CF,81,90,10.3,22.78,21.83,0.99
358,victoria,BN,75,94,5.28,115.24,25.0,1.0
359,baghmara,IN,86,92,23.8,86.21,22.09,0.75
360,mayskiy,RU,90,93,43.63,44.06,10.0,3.87
361,awjilah,LY,0,22,29.14,21.3,25.98,7.227
362,teknaf,BD,47,74,20.86,92.31,27.14,2.83
363,cootamundra,AU,0,65,-34.64,148.03,12.22,0.89
364,lamont,CA,90,49,53.76,-112.78,0.0,5.7
365,sao jose da coroa grande,IN,0,84,20.51,76.21,21.55,1.736
366,guadalupe y calvo,MX,40,45,25.68,-100.26,30.0,5.1
367,lompoc,US,75,82,34.64,-120.46,25.56,3.6
368,jacareacanga,BR,100,95,-6.22,-57.76,22.17,1.29
369,praia da vitoria,BR,40,47,-20.25,-43.81,27.0,3.1
370,mogadishu,SO,85,84,2.04,45.34,25.67,3.32
371,puerto narino,AR,0,34,-51.62,-69.23,9.0,9.3
372,boituva,BR,40,93,-23.29,-47.68,20.0,5.7
373,ler,NO,0,74,63.2,10.3,6.0,5.1
374,bosaso,SO,0,69,11.28,49.18,29.12,5.44
375,durango,MX,40,22,24.02,-104.67,25.56,1.5
376,mangrol,IN,36,73,25.33,76.51,24.5,1.393
377,kirakira,SB,75,65,-10.46,161.92,28.67,1.774
378,trois-rivieres,CA,1,66,46.35,-72.55,13.0,1.5
379,novo aripuana,CU,75,100,22.78,-82.23,25.0,2.6
380,agdam,AZ,37,42,39.99,46.93,13.18,3.21
381,shahrud,IR,0,44,36.42,54.97,7.4,1.61
382,kitob,UZ,0,28,39.12,66.88,14.88,2.18
383,san patricio,ML,78,48,13.3,-4.9,27.95,5.02
384,torbay,CA,90,93,47.66,-52.73,13.33,7.7
385,saint-augustin,CA,20,54,45.63,-73.98,15.0,1.5
386,marawi,PH,69,83,8.0,124.29,25.0,4.02
387,nizhneudinsk,RU,77,95,54.91,99.03,-1.24,1.76
388,burnie,AU,64,55,-41.05,145.91,17.78,7.6
389,muswellbrook,AU,3,87,-32.27,150.89,21.67,3.023
390,wangqing,CN,0,48,43.31,129.76,7.18,1.23
391,sangar,RU,100,51,63.92,127.47,-1.42,1.855
392,boende,CD,100,94,-0.28,20.88,21.63,1.0
393,cumberland,US,75,82,41.97,-71.43,15.0,2.1
394,cap malheureux,FR,75,81,49.27,-1.21,17.22,5.7
395,mecca,SA,48,37,21.43,39.83,31.84,2.55
396,ruidoso,US,1,52,33.33,-105.67,25.56,8.2
397,saint-pierre,FR,90,100,48.95,4.24,12.22,5.7
398,lakselv,NO,96,94,70.05,24.96,3.0,6.7
399,nizwa,OM,14,75,22.93,57.53,21.79,0.46
400,vercheres,CA,1,54,45.78,-73.35,15.0,2.6
401,dibulla,CO,75,79,11.27,-73.31,30.0,4.6
402,scarborough,GB,50,87,54.28,-0.41,11.11,5.1
403,bongouanou,CI,100,99,6.65,-4.2,22.35,2.2
404,nhulunbuy,AU,94,65,-12.18,136.78,27.0,3.6
405,nago,IT,20,87,45.88,10.89,13.89,1.5
406,lodja,CD,98,97,-3.52,23.6,20.16,0.82
407,port-gentil,GA,40,88,-0.72,8.78,26.0,4.6
408,borogontsy,RU,100,80,62.67,131.17,-1.73,3.34
409,bundaberg,AU,41,57,-24.87,152.35,26.67,5.7
410,ambrolauri,GE,0,88,42.52,43.15,19.0,3.1
411,evensk,RU,45,34,61.92,159.24,-3.19,1.61
412,rovaniemi,FI,90,94,66.5,25.72,0.0,4.1
413,port augusta,CD,92,65,-7.04,29.76,26.27,1.287
414,port lincoln,CD,92,65,-7.04,29.76,26.27,1.287
415,tashigang,CN,28,79,29.3,88.13,-1.71,1.65
416,uncia,BO,2,40,-18.47,-66.57,9.57,8.96
417,bozeman,US,40,18,45.68,-111.04,21.0,11.3
418,camacha,PT,75,78,33.08,-16.33,23.0,6.2
419,orzhytsya,UA,100,52,49.79,32.7,6.07,4.16
420,lagoa santa,PT,0,88,37.14,-8.45,22.22,3.1
421,merrill,US,40,34,42.03,-121.6,18.33,9.3
422,fort smith,IN,100,93,17.96,79.61,22.63,1.28
423,kosa,JP,0,93,32.67,130.82,13.0,2.6
424,baykit,RU,0,81,61.68,96.39,-5.24,1.216
425,odienne,CI,66,97,9.51,-7.57,21.35,2.36
426,altamira,BR,82,71,-3.2,-52.21,26.59,1.014
427,santa rosalia,PH,0,76,17.49,120.43,25.84,1.657
428,pisco,PE,40,30,-13.71,-76.2,22.0,5.7
429,daloa,CI,83,97,6.88,-6.45,21.98,2.7
430,maloy,ID,85,82,1.0,118.1,26.87,0.82
431,gornopravdinsk,RU,100,96,60.06,69.92,7.69,1.62
432,berlevag,NO,75,76,70.86,29.09,4.0,5.7
433,ardakan,IR,20,17,32.31,54.02,22.0,2.1
434,itaituba,BR,94,94,-4.26,-55.99,23.02,2.734
435,kerema,PG,88,80,-7.96,145.78,26.52,2.188
436,roald,NO,75,70,62.58,6.12,9.0,4.6
437,cartagena del chaira,ES,0,88,37.63,-1.0,20.56,2.6
438,vestmanna,FO,47,93,62.16,-7.17,10.0,8.2
439,yahotyn,UA,0,52,50.28,31.76,7.0,5.0
440,lovozero,RU,100,99,68.01,35.02,0.86,4.01
441,darhan,MN,48,89,49.49,105.92,2.85,5.42
442,northam,AU,40,93,-31.65,116.67,11.0,2.1
443,ust-nera,RU,49,86,64.57,143.24,-12.92,3.482
444,camalu,MX,0,42,30.85,-116.07,25.29,3.067
445,goderich,CA,0,88,43.74,-81.71,14.44,5.57
446,ontario,US,1,21,34.07,-117.65,32.0,5.7
447,stryn,NO,98,86,61.9,6.72,7.22,1.79
448,mehran,IR,23,48,33.12,46.17,18.0,2.1
449,havre-saint-pierre,CA,1,72,50.23,-63.6,9.0,2.6
450,hualmay,PE,46,87,-11.1,-77.61,15.64,5.32
